fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.52,0.42,0.34,4.5,0.05,46.8,107.4,0.99633,3.3,0.59,9.81,6
7.12,0.49,0.3,7.5,0.057,25.4,110.9,0.99735,3.51,0.41,10.09,5
6.92,0.55,0.09,4.61,0.039,40.8,103.4,0.99536,3.29,0.55,9.98,6
6.79,0.59,0.29,2.75,0.054,29.6,94.7,0.99241,3.37,0.61,10.65,5
5.97,0.38,0.17,4.63,0.052,28.3,102.0,0.9958,3.14,0.62,9.68,5
6.5,0.47,0.37,4.59,0.055,38.8,90.5,0.9937,3.36,0.5,11.62,7
6.68,0.45,0.34,0.95,0.053,36.5,115.7,0.99394,3.27,0.73,10.5,4
7.74,0.43,0.21,4.92,0.075,14.2,99.6,0.99617,3.45,0.51,10.49,6
7.24,0.68,0.25,4.65,0.044,44.8,119.7,0.99748,3.48,0.7,10.17,5
5.77,0.54,0.19,6.04,0.045,43.8,83.9,0.99504,3.69,0.64,10.66,3
7.23,0.37,0.29,7.77,0.044,23.7,121.6,0.99562,3.39,0.54,11.33,3
6.73,0.59,0.4,6.69,0.044,34.0,131.7,0.9984,3.35,0.78,9.63,5
6.53,0.71,0.2,4.6,0.044,34.9,75.1,0.99548,3.33,0.48,9.84,7
7.43,0.6,0.35,3.34,0.062,32.6,122.5,1.0002,3.25,0.69,10.2,5
7.72,0.35,0.25,8.86,0.064,24.5,139.6,0.99613,3.35,0.7,9.15,8
7.65,0.45,0.22,5.09,0.044,23.3,90.8,0.99148,3.26,0.53,9.68,6
6.41,0.63,0.29,5.02,0.042,29.7,148.5,0.99651,3.33,0.74,10.02,6
6.78,0.43,0.2,4.96,0.055,41.7,123.4,0.99576,3.5,0.57,11.37,6
7.23,0.54,0.24,5.3,0.044,35.4,100.9,0.99758,3.15,0.63,10.76,6
7.68,0.58,0.18,4.78,0.056,26.3,113.9,0.99635,3.47,0.63,10.69,7
6.66,0.41,0.5,4.14,0.052,37.7,126.2,0.99472,3.5,0.59,11.35,5
6.87,0.49,0.3,4.18,0.035,1.5,116.5,0.99255,3.28,0.68,10.36,5
6.23,0.18,0.23,4.95,0.065,41.5,125.8,0.99458,2.98,0.68,10.89,7
6.16,0.4,0.32,4.18,0.068,12.6,96.6,0.9933,3.21,0.43,10.4,7
7.57,0.47,0.29,3.93,0.044,26.4,118.4,0.99384,3.49,0.73,10.77,7
7.95,0.38,0.28,5.16,0.046,18.8,86.7,0.99618,3.3,0.43,9.92,6
6.95,0.66,0.36,4.62,0.053,17.1,112.8,0.99834,3.15,0.7,8.06,7
7.7,0.36,0.38,7.26,0.053,41.6,96.9,0.99579,3.22,0.71,10.37,6
7.25,0.46,0.25,1.02,0.057,25.3,100.3,0.99261,3.43,0.49,11.92,6
6.55,0.51,0.24,6.64,0.07,33.5,139.7,0.99589,3.38,0.56,11.43,5
7.25,0.64,0.27,6.87,0.048,29.5,136.8,0.99739,3.26,0.49,11.47,6
8.08,0.36,0.07,1.89,0.042,34.8,127.2,0.99378,3.24,0.58,11.74,5
6.97,0.62,0.15,4.49,0.036,30.8,93.2,0.99473,3.24,0.57,10.59,5
8.1,0.5,0.44,4.44,0.043,17.2,108.7,0.99503,3.16,0.68,10.7,7
5.17,0.4,0.46,2.89,0.05,40.0,139.3,0.99343,3.54,0.73,9.88,5
7.58,0.55,0.28,3.83,0.068,25.1,117.8,0.9963,3.25,0.74,10.18,4
7.06,0.52,0.36,3.33,0.045,14.4,161.4,0.99476,3.48,0.54,11.12,4
6.79,0.44,0.33,7.63,0.052,25.7,122.9,0.99584,3.53,0.58,11.7,7
7.06,0.51,0.61,6.4,0.05,45.0,118.8,0.99323,3.45,0.43,10.36,6
5.61,0.46,0.41,6.91,0.062,38.5,108.8,0.99413,3.24,0.52,10.05,6
6.85,0.51,0.29,6.08,0.075,26.5,117.7,0.99644,3.36,0.7,10.5,7
7.25,0.57,0.2,3.31,0.045,26.5,112.0,0.99425,3.3,0.76,11.1,7
8.03,0.66,0.14,4.21,0.045,26.8,129.2,0.99845,3.16,0.48,9.06,5
6.64,0.38,0.32,5.73,0.06,50.8,134.1,0.9942,3.35,0.54,8.2,6
6.43,0.71,0.22,3.17,0.057,33.8,99.3,0.99545,3.12,0.6,9.95,7
6.65,0.3,0.16,6.07,0.068,34.3,88.4,0.99687,3.48,0.63,9.28,6
7.64,0.48,0.24,4.64,0.056,40.3,78.3,0.99216,3.23,0.52,9.99,5
7.23,0.56,0.19,4.44,0.046,32.4,125.2,0.99148,3.33,0.64,10.35,7
6.63,0.53,0.47,6.07,0.056,27.4,92.9,0.99195,3.34,0.55,10.05,6
7.36,0.44,0.39,5.67,0.061,28.0,71.9,0.99753,3.26,0.6,11.95,5
7.07,0.48,0.3,4.46,0.058,29.3,122.8,0.9939,3.39,0.65,10.83,6
7.68,0.45,0.45,6.74,0.055,29.6,164.9,1.00012,3.23,0.6,10.8,3
6.51,0.44,0.31,3.38,0.061,37.3,114.9,0.99387,3.43,0.56,11.12,4
6.77,0.58,0.21,5.92,0.062,30.5,131.8,0.99537,3.1,0.59,9.36,7
6.73,0.54,0.45,5.89,0.064,37.3,116.6,0.99808,3.32,0.59,11.54,3
5.98,0.43,0.35,4.54,0.056,29.2,113.0,0.99901,3.59,0.56,10.42,6
7.21,0.59,0.2,5.49,0.048,30.8,133.4,0.99912,3.15,0.57,11.17,6
7.18,0.53,0.28,3.12,0.051,10.0,109.2,0.99742,3.2,0.76,9.43,4
7.0,0.58,0.21,6.39,0.062,39.2,120.3,0.99705,3.38,0.66,8.95,8
6.84,0.56,0.16,4.72,0.042,33.5,121.4,0.99619,3.33,0.57,11.32,5
6.01,0.42,0.39,4.22,0.054,40.0,101.6,0.99656,3.35,0.67,10.88,5
6.71,0.44,0.49,6.57,0.046,1.0,134.8,0.9939,3.37,0.57,9.6,5
6.76,0.57,0.16,3.94,0.05,50.9,111.5,0.99336,3.4,0.72,9.63,5
6.44,0.56,0.36,2.89,0.063,28.6,99.9,0.99499,3.47,0.64,11.63,3
6.89,0.5,0.23,2.67,0.052,41.1,125.7,0.99466,3.36,0.59,9.31,6
7.28,0.51,0.25,5.91,0.05,19.6,97.0,0.99409,3.26,0.64,12.14,8
8.32,0.63,0.24,3.08,0.036,36.1,115.6,0.99639,3.4,0.44,9.6,5
7.12,0.44,0.21,7.63,0.057,19.5,114.8,0.99691,3.58,0.49,11.14,6
7.18,0.55,0.3,1.88,0.056,23.8,136.7,0.99518,3.28,0.48,10.17,6
6.95,0.48,0.22,7.54,0.072,49.1,124.5,0.99796,3.15,0.61,11.1,7
5.66,0.48,0.33,5.32,0.047,28.1,114.5,0.99272,3.47,0.77,9.96,6
6.98,0.61,0.29,4.85,0.052,32.2,131.4,0.99461,3.28,0.82,10.34,5
7.04,0.58,0.28,4.18,0.052,38.7,142.8,0.99357,2.97,0.66,10.54,5
8.72,0.58,0.21,5.6,0.066,35.0,126.2,0.99127,3.43,0.65,9.5,6
6.87,0.63,0.24,4.94,0.049,31.5,115.2,0.99483,3.22,0.42,11.24,7
7.21,0.5,0.38,6.65,0.053,33.6,88.8,0.99476,3.29,0.55,9.99,5
6.98,0.57,0.35,5.17,0.056,54.0,93.7,0.99803,3.35,0.52,10.27,5
6.18,0.47,0.2,5.23,0.052,29.4,108.9,0.99626,3.33,0.54,9.51,7
7.8,0.53,0.31,4.45,0.046,32.0,102.8,0.99295,3.41,0.58,7.94,7
7.53,0.49,0.38,4.91,0.052,40.5,111.3,0.99871,3.23,0.55,10.31,8
7.55,0.51,0.13,5.46,0.061,41.1,116.1,0.99744,3.38,0.4,12.91,7
6.36,0.56,0.35,2.43,0.04,41.9,125.6,0.99616,3.26,0.67,11.28,5
7.98,0.42,0.23,2.98,0.051,36.4,113.6,0.99455,3.41,0.49,10.48,6
6.02,0.71,0.36,6.11,0.043,18.6,124.7,0.99308,3.39,0.62,10.24,6
7.41,0.4,0.22,5.26,0.062,46.3,116.3,0.99426,3.16,0.81,10.52,4
8.53,0.38,0.12,4.72,0.035,18.5,75.5,0.99718,3.46,0.51,11.05,6
6.31,0.62,0.14,5.03,0.044,33.0,96.2,0.99877,3.22,0.35,9.32,6
6.6,0.58,0.3,5.52,0.054,22.5,112.1,0.99809,3.42,0.57,11.61,5
7.07,0.56,0.33,4.19,0.066,29.4,90.8,0.99402,3.36,0.71,11.22,7
6.65,0.56,0.21,3.83,0.049,33.3,127.0,0.99276,3.58,0.8,11.22,6
5.91,0.5,0.36,5.29,0.044,33.2,145.6,0.99528,3.27,0.48,10.94,8
7.05,0.41,0.13,3.53,0.069,34.2,139.4,0.99146,3.25,0.65,10.52,3
6.26,0.51,0.29,5.61,0.036,46.1,110.7,0.99565,3.3,0.55,11.17,5
7.33,0.43,0.18,2.45,0.028,34.5,144.8,0.9947,3.25,0.59,11.09,6
6.36,0.6,0.23,6.54,0.054,27.6,118.0,0.99407,3.42,0.86,10.15,5
8.08,0.49,0.3,5.71,0.045,39.6,108.3,0.99181,3.06,0.45,9.93,6
6.45,0.42,0.21,5.38,0.04,41.9,102.7,0.99603,3.14,0.63,10.6,7
6.77,0.47,0.26,6.47,0.057,17.7,109.0,0.99393,3.14,0.65,12.05,4
7.57,0.54,0.4,7.5,0.052,36.0,107.2,0.99266,3.44,0.71,9.26,6
6.14,0.44,0.24,6.52,0.044,37.0,118.4,0.98926,3.56,0.61,9.03,6
7.16,0.42,0.38,2.24,0.037,27.0,118.2,0.99494,3.28,0.63,10.66,5
7.91,0.52,0.19,3.08,0.059,43.8,115.1,0.99854,3.27,0.56,10.55,7
5.87,0.52,0.35,4.06,0.057,28.5,123.7,0.99832,3.31,0.63,10.67,7
7.13,0.45,0.44,5.04,0.049,31.3,138.8,0.99409,3.47,0.57,10.74,6
7.18,0.45,0.05,5.78,0.068,28.3,134.0,0.9938,3.16,0.66,10.28,6
7.55,0.52,0.22,3.91,0.039,30.2,85.3,0.99594,3.34,0.56,11.99,6
6.13,0.36,0.36,5.28,0.035,19.0,63.9,0.993,3.45,0.64,8.9,7
6.08,0.36,0.28,3.87,0.043,15.6,133.7,0.9956,3.38,0.6,9.67,6
7.37,0.43,0.34,4.08,0.05,45.9,87.7,0.99653,3.33,0.71,10.4,6
7.21,0.48,0.24,2.89,0.052,21.5,110.5,0.99745,3.45,0.59,8.86,7
7.18,0.53,0.31,3.62,0.048,20.1,91.6,0.9948,2.89,0.42,10.32,5
7.24,0.65,0.28,2.97,0.054,8.5,79.0,0.99459,3.4,0.73,12.16,7
6.52,0.59,0.42,3.54,0.037,23.6,125.8,0.99324,3.2,0.51,10.52,5
7.16,0.48,0.33,6.58,0.064,16.8,130.2,0.99335,3.03,0.53,10.73,5
7.21,0.5,0.33,3.58,0.049,46.4,103.5,0.99455,3.38,0.54,9.24,5
6.5,0.4,0.26,8.95,0.061,40.1,63.2,0.99573,3.51,0.74,9.88,8
8.31,0.5,0.25,5.74,0.053,23.1,104.1,0.99683,3.28,0.39,10.12,7
7.33,0.47,0.26,5.28,0.055,52.5,122.8,0.99339,3.44,0.91,10.18,6
6.17,0.53,0.34,3.71,0.056,39.8,85.4,0.99799,3.54,0.71,11.78,6
7.46,0.42,0.26,6.05,0.054,26.8,118.7,0.99446,3.5,0.62,11.06,6
6.32,0.55,0.33,4.14,0.056,5.0,114.7,0.99496,3.55,0.59,9.39,7
7.55,0.65,0.51,5.18,0.063,52.9,126.6,0.99351,3.41,0.63,10.75,6
7.81,0.49,0.39,8.84,0.052,16.1,117.4,0.99015,3.31,0.65,11.0,5
6.43,0.54,0.27,4.86,0.057,13.5,95.5,0.99677,3.06,0.66,11.64,5
7.67,0.57,0.42,6.72,0.049,40.2,138.9,0.99647,3.26,0.66,12.08,7
7.29,0.46,0.26,3.95,0.064,54.4,111.8,0.99444,3.17,0.61,9.48,6
7.58,0.52,0.1,4.95,0.043,43.8,114.5,0.99513,3.63,0.58,9.69,5
8.33,0.5,0.2,7.66,0.068,35.6,96.3,0.99603,3.27,0.58,9.24,3
6.83,0.51,0.11,4.06,0.05,35.9,106.1,0.99187,3.32,0.58,10.27,7
6.47,0.42,0.26,7.72,0.036,38.5,97.3,0.99394,3.38,0.71,10.97,3
6.38,0.5,0.3,6.06,0.051,37.6,111.5,0.99659,3.31,0.66,11.49,6
6.43,0.55,0.47,4.16,0.043,32.8,149.2,0.99249,3.55,0.31,10.42,8
6.95,0.65,0.33,5.95,0.058,31.0,87.6,0.99559,3.21,0.67,10.18,6
7.24,0.6,0.28,6.46,0.043,29.4,82.7,0.99229,3.33,0.62,10.65,5
7.19,0.72,0.38,5.93,0.046,22.5,144.4,0.99593,3.19,0.6,9.66,6
7.58,0.42,0.08,2.64,0.031,27.2,110.8,0.99493,3.1,0.56,12.59,7
7.01,0.59,0.32,3.91,0.045,13.1,101.6,0.99177,3.21,0.71,8.89,6
8.02,0.52,0.38,4.63,0.026,29.0,135.8,0.99733,3.29,0.69,10.68,8
6.81,0.72,0.15,4.89,0.034,20.1,102.9,0.99353,3.24,0.52,12.52,4
8.9,0.42,0.41,5.93,0.058,19.0,151.5,0.99338,3.2,0.64,10.51,6
7.44,0.42,0.33,5.27,0.058,31.8,128.6,0.9954,3.09,0.5,10.31,6
6.4,0.44,0.26,3.0,0.054,43.9,105.2,0.9973,3.29,0.46,10.14,7
6.25,0.29,0.36,5.57,0.04,39.2,158.1,0.99297,3.07,0.54,10.32,5
7.34,0.45,0.53,5.92,0.05,14.3,102.9,0.99512,3.41,0.69,11.87,7
6.84,0.42,0.32,5.84,0.05,20.1,129.8,0.99586,3.31,0.7,8.29,6
7.5,0.52,0.32,6.62,0.038,39.4,121.0,0.99639,3.08,0.65,12.03,5
7.33,0.53,0.25,6.25,0.065,20.2,141.0,0.99535,3.25,0.67,9.08,4
6.95,0.69,0.22,5.69,0.059,27.8,146.2,0.99427,3.19,0.65,10.23,7
6.41,0.6,0.38,4.89,0.048,35.5,115.6,0.99334,3.35,0.54,10.07,5
5.94,0.44,0.21,2.51,0.05,20.3,99.9,0.99517,3.5,0.64,11.09,5
6.69,0.41,0.31,5.64,0.052,31.1,124.2,0.99286,3.02,0.68,8.9,5
7.6,0.55,0.25,5.31,0.03,16.7,101.4,0.98916,3.32,0.68,10.96,7
7.15,0.37,0.35,5.41,0.048,24.0,155.3,0.99587,3.28,0.72,12.52,6
6.13,0.68,0.33,3.08,0.043,33.2,117.7,0.99681,3.4,0.67,9.14,7
7.12,0.62,0.4,3.38,0.04,14.1,107.7,0.99027,3.33,0.64,10.69,5
7.27,0.45,0.25,6.58,0.047,34.4,118.7,0.99298,3.19,0.71,9.84,6
6.38,0.33,0.27,4.94,0.068,29.8,88.1,0.99624,3.25,0.6,10.93,6
7.11,0.64,0.2,6.02,0.056,35.5,95.6,0.99911,3.18,0.51,10.52,7
7.04,0.49,0.26,5.04,0.044,32.2,139.0,0.99504,3.46,0.58,9.86,7
6.2,0.62,0.34,5.04,0.056,43.6,101.9,0.99354,3.3,0.53,10.99,3
